"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 00:00","2018","04","01","00:00","8.4","","2.2","","65","","","","28","","14","","48.3","","101.46","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 01:00","2018","04","01","01:00","8.0","","2.1","","66","","","","26","","16","","48.3","","101.42","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 02:00","2018","04","01","02:00","8.2","","1.8","","64","","","","25","","23","","48.3","","101.35","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 03:00","2018","04","01","03:00","8.2","","1.9","","64","","","","23","","25","","48.3","","101.28","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 04:00","2018","04","01","04:00","8.0","","2.0","","66","","","","23","","16","","48.3","","101.25","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 05:00","2018","04","01","05:00","7.8","","1.3","","64","","","","17","","8","","48.3","","101.16","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 06:00","2018","04","01","06:00","7.1","","1.0","","65","","","","22","","19","","48.3","","101.15","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 07:00","2018","04","01","07:00","6.8","","1.2","","67","","","","19","","13","","48.3","","101.08","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 08:00","2018","04","01","08:00","7.1","","1.5","","67","","","","22","","7","","48.3","","101.06","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 09:00","2018","04","01","09:00","7.8","","2.0","","67","","","","30","","10","","48.3","","101.03","","","","","","NA"
