"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 10:00","2018","04","01","10:00","8.7","","-1.5","","49","","","","25","","20","","48.3","","101.00","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 11:00","2018","04","01","11:00","10.0","","-1.6","","44","","","","25","","22","","48.3","","100.93","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 12:00","2018","04","01","12:00","9.4","","-3.9","","39","","","","27","","24","","48.3","","100.86","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 13:00","2018","04","01","13:00","10.5","","-3.3","","38","","","","27","","30","","48.3","","100.81","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 14:00","2018","04","01","14:00","7.1","","1.4","","67","","","","2","","29","","48.3","","100.82","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 15:00","2018","04","01","15:00","7.7","","1.6","","65","","","","2","","16","","48.3","","100.79","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 16:00","2018","04","01","16:00","6.6","","0.6","","65","","","","2","","14","","48.3","","100.78","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 17:00","2018","04","01","17:00","6.6","","0.8","","67","","","","8","","17","","48.3","","100.75","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 18:00","2018","04","01","18:00","5.3","","1.7","","78","","","","1","","16","","48.3","","100.75","","","","","","Rain Showers"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 19:00","2018","04","01","19:00","4.7","","1.4","","79","","","","36","","2","","48.3","","100.75","","","","","","Rain Showers"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 20:00","2018","04","01","20:00","2.7","","1.3","","91","","","","23","","9","","48.3","","100.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 21:00","2018","04","01","21:00","3.5","","-0.3","","76","","","","26","","12","","48.3","","100.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 22:00","2018","04","01","22:00","1.7","","-1.1","","82","","","","26","","8","","48.3","","100.74","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-01 23:00","2018","04","01","23:00","3.5","","-0.5","","75","","","","28","","12","","48.3","","100.77","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 00:00","2018","04","02","00:00","2.7","","-1.5","","74","","","","24","","11","","48.3","","100.80","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 01:00","2018","04","02","01:00","1.7","","-1.3","","80","","","","32","","9","","48.3","","100.84","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 02:00","2018","04","02","02:00","2.3","","-2.0","","73","","","","30","","16","","48.3","","100.87","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 03:00","2018","04","02","03:00"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 04:00","2018","04","02","04:00","0.2","","-2.1","","85","","","","36","","2","","48.3","","101.01","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 05:00","2018","04","02","05:00","-0.4","","-1.7","","91","","","","36","","1","","48.3","","101.07","","","","-1","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 06:00","2018","04","02","06:00","-0.6","","-2.7","","85","","","","36","","2","","48.3","","101.17","","","","-1","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 07:00","2018","04","02","07:00","1.6","","-0.9","","83","","","","16","","4","","48.3","","101.26","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 08:00","2018","04","02","08:00","5.2","","-1.9","","60","","","","27","","8","","48.3","","101.35","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 09:00","2018","04","02","09:00","6.8","","-1.9","","54","","","","29","","7","","48.3","","101.40","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 10:00","2018","04","02","10:00","7.8","","-3.2","","46","","","","36","","3","","48.3","","101.46","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 11:00","2018","04","02","11:00","8.8","","-2.2","","46","","","","10","","14","","48.3","","101.51","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 12:00","2018","04","02","12:00","8.6","","-0.4","","53","","","","11","","18","","48.3","","101.53","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 13:00","2018","04","02","13:00","9.6","","0.2","","52","","","","10","","18","","48.3","","101.53","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 14:00","2018","04","02","14:00","9.4","","-1.2","","48","","","","8","","23","","48.3","","101.49","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 15:00","2018","04","02","15:00","10.8","","-4.5","","34","","","","20","","22","","48.3","","101.49","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 16:00","2018","04","02","16:00","9.8","","-3.5","","39","","","","23","","30","","48.3","","101.52","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 17:00","2018","04","02","17:00","8.8","","-2.4","","45","","","","23","","25","","48.3","","101.57","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 18:00","2018","04","02","18:00","8.4","","-3.2","","44","","","","25","","23","","48.3","","101.61","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 19:00","2018","04","02","19:00","6.7","","0.3","","63","","","","22","","16","","48.3","","101.65","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 20:00","2018","04","02","20:00","6.1","","1.2","","71","","","","23","","16","","48.3","","101.68","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 21:00","2018","04","02","21:00","6.1","","-0.2","","64","","","","23","","14","","48.3","","101.72","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 22:00","2018","04","02","22:00","5.9","","0.4","","68","","","","20","","21","","48.3","","101.72","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-02 23:00","2018","04","02","23:00","5.6","","1.5","","75","","","","21","","22","","48.3","","101.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 00:00","2018","04","03","00:00","5.4","","1.6","","77","","","","25","","13","","48.3","","101.76","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 01:00","2018","04","03","01:00","5.3","","1.6","","77","","","","24","","16","","48.3","","101.75","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 02:00","2018","04","03","02:00","5.0","","1.8","","80","","","","30","","8","","48.3","","101.72","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 03:00","2018","04","03","03:00","5.3","","1.6","","77","","","","27","","14","","48.3","","101.71","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 04:00","2018","04","03","04:00","5.7","","0.1","","67","","","","23","","18","","48.3","","101.67","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 05:00","2018","04","03","05:00","5.4","","-0.2","","67","","","","0","","1","","48.3","","101.65","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 06:00","2018","04","03","06:00","5.1","","0.9","","74","","","","23","","8","","48.3","","101.65","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 07:00","2018","04","03","07:00","5.4","","1.1","","74","","","","36","","2","","48.3","","101.62","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 08:00","2018","04","03","08:00","6.3","","0.9","","68","","","","21","","12","","32.2","","101.59","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 09:00","2018","04","03","09:00","6.3","","1.5","","72","","","","15","","10","","32.2","","101.60","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 10:00","2018","04","03","10:00","7.0","","2.1","","71","","","","16","","10","","32.2","","101.59","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 11:00","2018","04","03","11:00","7.3","","2.9","","74","","","","17","","8","","32.2","","101.56","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 12:00","2018","04","03","12:00","8.4","","0.3","","57","","","","20","","10","","32.2","","101.56","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 13:00","2018","04","03","13:00","7.2","","3.1","","75","","","","13","","15","","32.2","","101.54","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 14:00","2018","04","03","14:00","7.5","","3.6","","76","","","","14","","18","","32.2","","101.53","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 15:00","2018","04","03","15:00","7.6","","2.8","","72","","","","15","","15","","32.2","","101.52","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 16:00","2018","04","03","16:00","8.2","","2.6","","68","","","","18","","14","","32.2","","101.47","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 17:00","2018","04","03","17:00","8.0","","2.7","","69","","","","17","","14","","32.2","","101.45","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 18:00","2018","04","03","18:00","7.6","","1.5","","65","","","","17","","14","","32.2","","101.42","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 19:00","2018","04","03","19:00","6.5","","0.3","","65","","","","18","","9","","32.2","","101.43","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 20:00","2018","04","03","20:00","6.5","","1.2","","69","","","","23","","13","","48.3","","101.47","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 21:00","2018","04","03","21:00","6.6","","1.7","","71","","","","29","","8","","48.3","","101.49","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 22:00","2018","04","03","22:00","6.6","","2.3","","74","","","","29","","8","","48.3","","101.51","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-03 23:00","2018","04","03","23:00","6.1","","2.3","","76","","","","29","","10","","48.3","","101.53","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 00:00","2018","04","04","00:00","5.7","","2.1","","78","","","","27","","7","","48.3","","101.55","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 01:00","2018","04","04","01:00","5.1","","2.2","","82","","","","21","","7","","48.3","","101.58","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 02:00","2018","04","04","02:00","5.1","","2.8","","85","","","","36","","3","","48.3","","101.58","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 03:00","2018","04","04","03:00","4.7","","3.2","","90","","","","24","","5","","32.2","","101.57","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 04:00","2018","04","04","04:00","4.6","","3.5","","93","","","","23","","6","","48.3","","101.54","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 05:00","2018","04","04","05:00","4.9","","3.1","","88","","","","27","","4","","48.3","","101.54","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 06:00","2018","04","04","06:00","4.9","","3.3","","90","","","","28","","5","","32.2","","101.56","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 07:00","2018","04","04","07:00","5.3","","3.1","","86","","","","24","","5","","32.2","","101.55","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 08:00","2018","04","04","08:00","6.1","","4.5","","90","","","","12","","7","","24.1","","101.57","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 09:00","2018","04","04","09:00","6.3","","4.5","","88","","","","10","","9","","24.1","","101.58","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 10:00","2018","04","04","10:00","6.4","","4.6","","88","","","","8","","14","","20.9","","101.59","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 11:00","2018","04","04","11:00","6.5","","4.9","","89","","","","8","","14","","12.9","","101.63","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 12:00","2018","04","04","12:00","6.6","","5.1","","90","","","","6","","14","","12.9","","101.64","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 13:00","2018","04","04","13:00","6.6","","5.0","","90","","","","5","","18","","9.7","","101.62","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 14:00","2018","04","04","14:00","6.2","","5.0","","91","","","","4","","13","","9.7","","101.62","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 15:00","2018","04","04","15:00","6.3","","5.2","","92","","","","5","","14","","8.1","","101.60","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 16:00","2018","04","04","16:00","6.3","","5.4","","94","","","","3","","11","","12.9","","101.58","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 17:00","2018","04","04","17:00","6.5","","5.8","","95","","","","4","","15","","8.1","","101.55","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 18:00","2018","04","04","18:00","6.6","","5.8","","95","","","","5","","10","","8.1","","101.55","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 19:00","2018","04","04","19:00","6.5","","5.6","","94","","","","4","","13","","8.1","","101.51","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 20:00","2018","04","04","20:00","6.4","","5.6","","95","","","","32","","7","","8.1","","101.52","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 21:00","2018","04","04","21:00","5.5","","5.1","","97","","","","30","","9","","6.4","","101.51","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 22:00","2018","04","04","22:00","5.3","","5.0","","98","","","","30","","8","","6.4","","101.47","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-04 23:00","2018","04","04","23:00","5.5","","5.2","","98","","","","28","","10","","6.4","","101.42","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 00:00","2018","04","05","00:00","5.6","","5.3","","98","","","","28","","8","","6.4","","101.40","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 01:00","2018","04","05","01:00","6.0","","5.6","","98","","","","28","","5","","6.4","","101.39","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 02:00","2018","04","05","02:00","6.0","","5.7","","98","","","","23","","8","","6.4","","101.31","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 03:00","2018","04","05","03:00","6.1","","5.9","","99","","","","23","","5","","4.8","","101.25","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 04:00","2018","04","05","04:00","6.2","","6.1","","99","","","","29","","7","","6.4","","101.24","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 05:00","2018","04","05","05:00","6.2","","6.0","","98","","","","30","","8","","6.4","","101.20","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 06:00","2018","04","05","06:00","6.3","","6.0","","98","","","","25","","4","","12.9","","101.15","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 07:00","2018","04","05","07:00","6.6","","6.2","","97","","","","1","","7","","8.1","","101.14","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 08:00","2018","04","05","08:00","7.0","","6.7","","97","","","","3","","12","","9.7","","101.12","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 09:00","2018","04","05","09:00","7.4","","7.0","","97","","","","5","","16","","16.1","","101.07","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 10:00","2018","04","05","10:00","7.6","","7.3","","98","","","","4","","15","","12.9","","101.06","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 11:00","2018","04","05","11:00","8.2","","7.8","","97","","","","5","","10","","16.1","","101.04","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 12:00","2018","04","05","12:00","8.3","","7.9","","98","","","","4","","16","","8.1","","101.03","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 13:00","2018","04","05","13:00","9.1","","8.5","","96","","","","4","","12","","12.9","","101.01","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 14:00","2018","04","05","14:00","9.4","","8.6","","95","","","","5","","13","","19.3","","100.93","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 15:00","2018","04","05","15:00","9.4","","8.8","","96","","","","5","","11","","16.1","","100.86","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 16:00","2018","04","05","16:00","8.7","","8.2","","97","","","","5","","15","","12.9","","100.81","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 17:00","2018","04","05","17:00","8.6","","8.2","","98","","","","5","","18","","12.9","","100.74","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 18:00","2018","04","05","18:00","8.8","","8.5","","98","","","","5","","13","","11.3","","100.69","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 19:00","2018","04","05","19:00","8.8","","8.5","","98","","","","4","","17","","16.1","","100.67","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 20:00","2018","04","05","20:00","9.1","","8.7","","98","","","","5","","9","","16.1","","100.69","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 21:00","2018","04","05","21:00","9.0","","8.6","","97","","","","5","","15","","16.1","","100.69","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 22:00","2018","04","05","22:00","9.0","","8.6","","97","","","","4","","16","","24.1","","100.69","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-05 23:00","2018","04","05","23:00","9.1","","8.6","","96","","","","36","","3","","24.1","","100.69","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 00:00","2018","04","06","00:00","9.1","","8.6","","97","","","","7","","5","","24.1","","100.69","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 01:00","2018","04","06","01:00","10.1","","9.4","","95","","","","12","","8","","24.1","","100.68","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 02:00","2018","04","06","02:00","9.6","","9.1","","97","","","","35","","3","","19.3","","100.71","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 03:00","2018","04","06","03:00","9.5","","9.2","","98","","","","29","","4","","19.3","","100.74","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 04:00","2018","04","06","04:00","9.4","","9.3","","99","","","","12","","4","","24.1","","100.72","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 05:00","2018","04","06","05:00","9.3","","9.1","","99","","","","3","","4","","24.1","","100.70","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 06:00","2018","04","06","06:00","8.6","","8.4","","98","","","","4","","14","","12.9","","100.71","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 07:00","2018","04","06","07:00","8.8","","8.6","","98","","","","4","","14","","4.8","","100.72","","","","","","Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 08:00","2018","04","06","08:00","9.1","","8.9","","99","","","","7","","5","","6.4","","100.72","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 09:00","2018","04","06","09:00","9.0","","8.8","","98","","","","3","","8","","6.4","","100.74","","","","","","Rain,Fog"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 10:00","2018","04","06","10:00","9.2","","8.8","","98","","","","3","","12","","11.3","","100.72","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 11:00","2018","04","06","11:00","9.8","","9.4","","97","","","","5","","7","","12.9","","100.70","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 12:00","2018","04","06","12:00","11.2","","9.7","","91","","","","1","","7","","19.3","","100.69","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 13:00","2018","04","06","13:00","11.0","","9.7","","92","","","","8","","14","","24.1","","100.64","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 14:00","2018","04","06","14:00","11.5","","9.9","","90","","","","5","","11","","32.2","","100.56","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 15:00","2018","04","06","15:00","12.0","","10.2","","89","","","","1","","9","","32.2","","100.47","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 16:00","2018","04","06","16:00","12.2","","10.1","","87","","","","33","","5","","32.2","","100.40","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 17:00","2018","04","06","17:00","12.4","","10.3","","87","","","","36","","1","","32.2","","100.34","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 18:00","2018","04","06","18:00","11.7","","10.2","","90","","","","35","","8","","48.3","","100.25","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 19:00","2018","04","06","19:00","11.6","","10.0","","90","","","","29","","10","","48.3","","100.16","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 20:00","2018","04","06","20:00","10.9","","9.9","","93","","","","27","","12","","32.2","","100.15","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 21:00","2018","04","06","21:00","10.5","","9.8","","95","","","","28","","9","","32.2","","100.05","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 22:00","2018","04","06","22:00","10.3","","9.5","","95","","","","27","","5","","32.2","","99.96","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-06 23:00","2018","04","06","23:00","9.7","","8.9","","95","","","","26","","5","","48.3","","99.84","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 00:00","2018","04","07","00:00","8.5","","8.1","","97","","","","25","","3","","32.2","","99.65","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 01:00","2018","04","07","01:00","10.5","","9.2","","92","","","","36","","7","","24.1","","99.45","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 02:00","2018","04","07","02:00","10.4","","8.8","","89","","","","32","","3","","24.1","","99.21","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 03:00","2018","04","07","03:00","9.9","","8.5","","91","","","","3","","11","","24.1","","99.12","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 04:00","2018","04","07","04:00","9.3","","8.5","","94","","","","10","","3","","24.1","","99.02","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 05:00","2018","04","07","05:00","9.4","","8.9","","97","","","","23","","14","","19.3","","99.13","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 06:00","2018","04","07","06:00","10.4","","9.7","","96","","","","11","","13","","24.1","","98.96","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 07:00","2018","04","07","07:00","9.8","","9.3","","97","","","","7","","7","","32.2","","99.08","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2018-04-07 08:00","2018","04","07","08:00","10.1","","9.4","","96","","","","36","","3","","32.2","","99.13","","","","","","NA"
