"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 00:00","2020","04","01","00:00","5.1","","2.3","","82","","","","16","","12","","24.1","","101.45","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 01:00","2020","04","01","01:00","5.3","","2.5","","82","","","","18","","12","","24.1","","101.47","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 02:00","2020","04","01","02:00","5.2","","3.1","","86","","","","20","","8","","24.1","","101.47","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 03:00","2020","04","01","03:00","5.0","","3.3","","89","","","","32","","4","","24.1","","101.49","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 04:00","2020","04","01","04:00","4.4","","4.4","","100","","","","28","","5","","24.1","","101.50","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 05:00","2020","04","01","05:00","4.1","","4.1","","100","","","","28","","7","","32.2","","101.54","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 06:00","2020","04","01","06:00","3.8","","3.8","","100","","","","5","","11","","19.3","","101.60","","","","","","Moderate Rain Showers"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 07:00","2020","04","01","07:00","3.2","","3.2","","100","","","","6","","17","","16.1","","101.68","","","","","","Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 08:00","2020","04","01","08:00","3.6","","3.6","","99","","","","3","","12","","24.1","","101.72","","","","","","Rain"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 09:00","2020","04","01","09:00","4.8","","2.3","","84","","","","5","","15","","24.1","","101.74","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 10:00","2020","04","01","10:00","6.3","","2.1","","75","","","","2","","10","","32.2","","101.76","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 11:00","2020","04","01","11:00","7.0","","-2.7","","50","","","","8","","18","","32.2","","101.77","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 12:00","2020","04","01","12:00","7.5","","-2.8","","48","","","","4","","10","","32.2","","101.76","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 13:00","2020","04","01","13:00","8.2","","-2.0","","48","","","","6","","13","","32.2","","101.76","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 14:00","2020","04","01","14:00","8.4","","-1.4","","50","","","","10","","12","","32.2","","101.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 15:00","2020","04","01","15:00","8.3","","-1.2","","51","","","","8","","16","","32.2","","101.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 16:00","2020","04","01","16:00","8.2","","-0.9","","53","","","","10","","11","","32.2","","101.72","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 17:00","2020","04","01","17:00","7.4","","-1.6","","53","","","","10","","9","","32.2","","101.74","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 18:00","2020","04","01","18:00","7.3","","-1.0","","55","","","","9","","9","","32.2","","101.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 19:00","2020","04","01","19:00","6.5","","-1.0","","59","","","","13","","4","","32.2","","101.75","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 20:00","2020","04","01","20:00","4.6","","0.1","","72","","","","36","","1","","32.2","","101.79","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 21:00","2020","04","01","21:00","4.8","","0.7","","75","","","","36","","2","","32.2","","101.80","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 22:00","2020","04","01","22:00","5.8","","-2.4","","56","","","","10","","5","","32.2","","101.82","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-01 23:00","2020","04","01","23:00","2.8","","-0.7","","78","","","","23","","8","","32.2","","101.83","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-02 00:00","2020","04","02","00:00","1.6","","-1.3","","81","","","","24","","7","","32.2","","101.86","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-02 01:00","2020","04","02","01:00","0.7","","-1.8","","83","","","","24","","6","","32.2","","101.86","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-02 02:00","2020","04","02","02:00","1.6","","0.7","","94","","","","25","","3","","24.1","","101.88","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2020-04-02 03:00","2020","04","02","03:00","1.6","","0.0","","88","","","","25","","3","","24.1","","101.89","","","","","","NA"
