"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 00:00","2019","04","01","00:00","6.1","","3.4","","83","","","","25","","10","","32.2","","101.81","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 01:00","2019","04","01","01:00","7.3","","3.7","","78","","","","24","","7","","32.2","","101.78","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 02:00","2019","04","01","02:00","6.6","","2.8","","76","","","","27","","6","","32.2","","101.78","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 03:00","2019","04","01","03:00","5.9","","1.5","","73","","","","30","","11","","32.2","","101.78","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 04:00","2019","04","01","04:00","6.3","","2.4","","76","","","","24","","6","","32.2","","101.75","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 05:00","2019","04","01","05:00","5.5","","2.0","","78","","","","26","","7","","32.2","","101.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 06:00","2019","04","01","06:00","5.5","","2.4","","81","","","","27","","9","","48.3","","101.71","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 07:00","2019","04","01","07:00","6.6","","3.4","","80","","","","28","","7","","48.3","","101.71","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 08:00","2019","04","01","08:00","9.6","","3.2","","64","","","","29","","7","","48.3","","101.68","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2019-04-01 09:00","2019","04","01","09:00","11.3","","2.5","","55","","","","28","","7","","48.3","","101.66","","","","","","NA"
