"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 00:00","2021","04","01","00:00","4.1","","2.7","","91","","","","24","","7","","24.1","","101.25","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 01:00","2021","04","01","01:00","4.2","","2.1","","87","","","","20","","6","","24.1","","101.19","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 02:00","2021","04","01","02:00","2.7","","1.2","","90","","","","23","","3","","24.1","","101.13","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 03:00","2021","04","01","03:00","2.9","","2.2","","95","","","","23","","4","","24.1","","101.09","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 04:00","2021","04","01","04:00","2.9","","2.2","","95","","","","24","","7","","24.1","","101.06","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 05:00","2021","04","01","05:00","2.5","","2.0","","97","","","","26","","3","","24.1","","101.04","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 06:00","2021","04","01","06:00","3.3","","3.3","","100","","","","24","","7","","48.3","","101.06","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 07:00","2021","04","01","07:00","5.5","","2.5","","81","","","","26","","8","","48.3","","101.08","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 08:00","2021","04","01","08:00","7.4","","2.1","","69","","","","29","","18","","48.3","","101.10","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 09:00","2021","04","01","09:00","8.7","","1.6","","61","","","","29","","16","","48.3","","101.11","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 10:00","2021","04","01","10:00","9.4","","1.2","","56","","","","29","","14","","48.3","","101.14","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 11:00","2021","04","01","11:00","9.9","","1.3","","55","","","","27","","14","","48.3","","101.15","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 12:00","2021","04","01","12:00","10.8","","1.7","","53","","","","29","","9","","48.3","","101.15","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 13:00","2021","04","01","13:00","12.2","","1.7","","49","","","","24","","4","","48.3","","101.13","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 14:00","2021","04","01","14:00","11.8","","2.1","","51","","","","11","","10","","48.3","","101.12","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 15:00","2021","04","01","15:00","11.4","","1.3","","50","","","","13","","13","","48.3","","101.13","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 16:00","2021","04","01","16:00","11.5","","2.3","","53","","","","11","","10","","48.3","","101.09","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 17:00","2021","04","01","17:00","11.2","","3.2","","57","","","","14","","14","","48.3","","101.06","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 18:00","2021","04","01","18:00","11.4","","3.0","","56","","","","26","","13","","48.3","","101.07","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 19:00","2021","04","01","19:00","9.9","","2.7","","61","","","","28","","22","","32.2","","101.06","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 20:00","2021","04","01","20:00","8.4","","3.0","","68","","","","29","","7","","32.2","","101.11","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 21:00","2021","04","01","21:00","8.2","","2.9","","69","","","","29","","8","","32.2","","101.17","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 22:00","2021","04","01","22:00","7.5","","2.3","","70","","","","33","","4","","32.2","","101.18","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-01 23:00","2021","04","01","23:00","7.4","","1.6","","67","","","","28","","21","","32.2","","101.20","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 00:00","2021","04","02","00:00","6.7","","1.0","","67","","","","27","","13","","32.2","","101.23","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 01:00","2021","04","02","01:00","6.9","","-0.4","","60","","","","28","","22","","32.2","","101.26","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 02:00","2021","04","02","02:00","6.3","","-0.7","","61","","","","27","","17","","32.2","","101.26","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 03:00","2021","04","02","03:00","6.5","","-0.6","","60","","","","28","","18","","32.2","","101.31","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 04:00","2021","04","02","04:00","5.6","","-0.7","","64","","","","22","","8","","32.2","","101.34","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 05:00","2021","04","02","05:00","5.5","","-0.2","","67","","","","27","","16","","32.2","","101.40","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 06:00","2021","04","02","06:00","5.1","","-0.3","","68","","","","26","","8","","32.2","","101.44","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 07:00","2021","04","02","07:00","5.4","","-1.0","","63","","","","28","","12","","48.3","","101.48","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 08:00","2021","04","02","08:00","6.0","","-1.5","","58","","","","30","","16","","48.3","","101.50","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 09:00","2021","04","02","09:00","7.0","","-2.0","","53","","","","26","","9","","48.3","","101.54","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 10:00","2021","04","02","10:00","7.8","","-0.7","","55","","","","10","","9","","48.3","","101.59","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 11:00","2021","04","02","11:00","9.6","","-1.3","","46","","","","28","","5","","48.3","","101.64","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 12:00","2021","04","02","12:00","10.8","","-1.5","","42","","","","24","","20","","48.3","","101.67","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 13:00","2021","04","02","13:00","11.2","","-1.5","","41","","","","25","","15","","48.3","","101.68","","","","","","Mostly Cloudy"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 14:00","2021","04","02","14:00","11.4","","-1.2","","41","","","","20","","7","","48.3","","101.69","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 15:00","2021","04","02","15:00","10.1","","1.9","","56","","","","12","","19","","48.3","","101.69","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-04-02 16:00","2021","04","02","16:00","10.2","","2.2","","58","","","","15","","22","","48.3","","101.68","","","","","","Mostly Cloudy"
